event,value,timestamp
MeanHrv,20.9,2024-06-16T00:16:05.027382
MeanHrv,27.5,2024-06-16T00:16:07.066864
MeanHrv,41.8,2024-06-16T00:16:08.028289
MeanHrv,55.9,2024-06-16T00:16:10.068428
MeanHrv,61.3,2024-06-16T00:16:11.029840
MeanHrv,83.2,2024-06-16T00:16:12.048217
MeanHrv,114.5,2024-06-16T00:16:17.030581
MeanHrv,135.5,2024-06-16T00:16:19.072239
MeanHrv,154,2024-06-16T00:16:21.050467
MeanHrv,152.4,2024-06-16T00:16:22.070951
MeanHrv,140.8,2024-06-16T00:16:25.071152
MeanHrv,139.5,2024-06-16T00:16:27.050845
MeanHrv,130.8,2024-06-16T00:16:28.132065
